20231205-08:48:05 | train_and_evaluate | PID:26756 | DEBUG | the epoch is 1/25
20231205-08:50:33 | train_and_evaluate | PID:26756 | DEBUG | The validation for the epoch is 1 start
20231205-08:50:51 | train_and_evaluate | PID:26756 | DEBUG | Epoch [1/25] - Train Loss: 2.8874 - Train F1 score: 0.9570 - Train accuracy: 0.9533 - Validation Loss: 2.9294 - Validation F1 score: 0.9533 - Validation accuracy: 0.9533
20231205-08:50:51 | train_and_evaluate | PID:26756 | DEBUG | the epoch is 2/25
20231205-08:53:18 | train_and_evaluate | PID:26756 | DEBUG | The validation for the epoch is 2 start
20231205-08:53:37 | train_and_evaluate | PID:26756 | DEBUG | Epoch [2/25] - Train Loss: 2.8815 - Train F1 score: 0.9570 - Train accuracy: 0.9533 - Validation Loss: 2.9294 - Validation F1 score: 0.9533 - Validation accuracy: 0.9533
20231205-08:53:37 | train_and_evaluate | PID:26756 | DEBUG | the epoch is 3/25
20231205-08:56:04 | train_and_evaluate | PID:26756 | DEBUG | The validation for the epoch is 3 start
20231205-08:56:22 | train_and_evaluate | PID:26756 | DEBUG | Epoch [3/25] - Train Loss: 2.8815 - Train F1 score: 0.9570 - Train accuracy: 0.9533 - Validation Loss: 2.9293 - Validation F1 score: 0.9533 - Validation accuracy: 0.9533
20231205-08:56:22 | train_and_evaluate | PID:26756 | DEBUG | the epoch is 4/25
20231205-08:58:50 | train_and_evaluate | PID:26756 | DEBUG | The validation for the epoch is 4 start
20231205-08:59:08 | train_and_evaluate | PID:26756 | DEBUG | Epoch [4/25] - Train Loss: 2.8900 - Train F1 score: 0.9563 - Train accuracy: 0.9494 - Validation Loss: 2.9794 - Validation F1 score: 0.9494 - Validation accuracy: 0.9494
20231205-08:59:08 | train_and_evaluate | PID:26756 | DEBUG | the epoch is 5/25
20231205-09:01:36 | train_and_evaluate | PID:26756 | DEBUG | The validation for the epoch is 5 start
20231205-09:01:54 | train_and_evaluate | PID:26756 | DEBUG | Epoch [5/25] - Train Loss: 2.9498 - Train F1 score: 0.9517 - Train accuracy: 0.9494 - Validation Loss: 2.9794 - Validation F1 score: 0.9494 - Validation accuracy: 0.9494
20231205-09:01:54 | train_and_evaluate | PID:26756 | DEBUG | the epoch is 6/25
20231205-09:04:22 | train_and_evaluate | PID:26756 | DEBUG | The validation for the epoch is 6 start
20231205-09:04:40 | train_and_evaluate | PID:26756 | DEBUG | Epoch [6/25] - Train Loss: 2.9499 - Train F1 score: 0.9517 - Train accuracy: 0.9494 - Validation Loss: 2.9795 - Validation F1 score: 0.9494 - Validation accuracy: 0.9494
20231205-09:04:40 | train_and_evaluate | PID:26756 | DEBUG | the epoch is 7/25
20231205-09:07:08 | train_and_evaluate | PID:26756 | DEBUG | The validation for the epoch is 7 start
20231205-09:07:26 | train_and_evaluate | PID:26756 | DEBUG | Epoch [7/25] - Train Loss: 2.9499 - Train F1 score: 0.9517 - Train accuracy: 0.9494 - Validation Loss: 2.9794 - Validation F1 score: 0.9494 - Validation accuracy: 0.9494
20231205-09:07:26 | train_and_evaluate | PID:26756 | DEBUG | the epoch is 8/25
20231205-09:09:54 | train_and_evaluate | PID:26756 | DEBUG | The validation for the epoch is 8 start
20231205-09:10:12 | train_and_evaluate | PID:26756 | DEBUG | Epoch [8/25] - Train Loss: 2.9499 - Train F1 score: 0.9517 - Train accuracy: 0.9494 - Validation Loss: 2.9793 - Validation F1 score: 0.9494 - Validation accuracy: 0.9494
20231205-09:10:12 | train_and_evaluate | PID:26756 | DEBUG | the epoch is 9/25
20231205-09:12:39 | train_and_evaluate | PID:26756 | DEBUG | The validation for the epoch is 9 start
20231205-09:12:57 | train_and_evaluate | PID:26756 | DEBUG | Epoch [9/25] - Train Loss: 2.9499 - Train F1 score: 0.9517 - Train accuracy: 0.9494 - Validation Loss: 2.9793 - Validation F1 score: 0.9494 - Validation accuracy: 0.9494
20231205-09:12:57 | train_and_evaluate | PID:26756 | DEBUG | the epoch is 10/25
20231205-09:15:25 | train_and_evaluate | PID:26756 | DEBUG | The validation for the epoch is 10 start
